"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-5.2 (high)","85.40","80.98","5.17%","+5.6%","352","18782","¥53.01","¥100.80","25-12-12","1"
"Gemini 3 Pro","84.06","73.60","12.45%","+54.7%","136","14416","¥34.88","¥86.40","25-11-19","1"
"Gemini 3 Flash (high)","77.77","71.05","8.65%","+65%","218","43148","¥26.10","¥21.60","25-12-18","1"
"Kimi-K2.5 (Think)","76.26","65.21","14.48%","+7.8%","370","26927","¥15.83","¥21.00","26-01-27","1"
"GPT-5 Mini(high)","76.04","71.71","5.69%","-","323","26063","¥10.51","¥14.40","25-08-07","1"
"Grok 4","72.47","64.46","11.06%","+35.2%","343","18443","¥55.77","¥108.00","25-07-10","1"
"Claude Sonnet 4.5(Think)","69.79","57.77","17.23%","+29%","214","13312","¥40.26","¥108.00","25-09-29","1"
"Qwen3-Max 0123 (Think)","69.45","65.43","5.80%","+14.1%","660","26309","¥7.37","¥10.00","26-01-27","1"
"GLM-4.7(Think)","69.15","60.17","12.98%","+58.3%","408","18740","¥7.35","¥14.00","25-12-23","1"
"DeepSeek V3.2-1201(Think)","67.40","51.41","23.72%","+19%","631","18011","¥1.51","¥3.00","25-12-01","1"
"Doubao-Seed-1.8 1228 (high)","66.75","53.63","19.66%","-9.5%","478","24823","¥5.56","¥8.00","26-01-05","1"
"Step-3.5-Flash","61.32","48.74","20.51%","+70.9%","222","33261","-","-","-","1"
"Grok 4.1 Fast(Think)","60.13","51.32","14.65%","-","188","16953","¥1.71","¥3.60","25-11-19","1"
"ERNIE 5.0","57.21","38.92","31.97%","+14.9%","775","20501","¥13.78","¥24.00","26-01-20","1"
"Qwen3-Max 0123","50.40","39.58","21.46%","+5.8%","152","5597","¥1.57","¥10.00","26-01-27","0"
"gpt-oss-120b(high)","50.23","40.03","20.29%","-","76","8688","¥0.88","¥3.60","25-08-05","1"
"MiMo-V2-Flash (Think)","50.09","33.54","33.04%","-","250","23771","¥1.44","¥2.16","25-12-17","1"
"Qwen3-235B-A22B-2507(Think)","49.71","43.67","12.15%","+14.5%","444","23096","¥12.93","¥20.00","25-07-25","1"
"Tencent HY 2.0 Think","49.55","36.43","26.47%","32.1%","254","15967","¥1.79","¥4.00","25-12-05","1"
"MiMo-V2-Flash 0112 (Think)","49.01","32.24","34.23%","-","244","23495","¥1.42","¥2.16","26-01-19","1"
"Ring-1T","47.17","31.15","33.96%","-","882","26238","¥11.75","¥16.00","25-10-14","1"
"Claude Opus 4.5","44.92","30.83","31.37%","+14.4%","28","1650","¥8.32","¥180.00","25-11-25","0"
"MiniMax-M2.1","43.98","35.51","19.26%","-21.6%","269","18151","¥4.27","¥8.40","25-12-23","1"
"GLM-4.7","43.59","32.53","25.36%","+48.1%","32","1657","¥0.65","¥14.00","25-12-23","0"
"DeepSeek V3.2-1201","43.35","30.17","30.41%","+46.5%","120","3442","¥0.29","¥3.00","25-12-01","0"
"Qwen3-235B-A22B-2507","42.54","31.74","25.39%","+54%","208","5974","¥1.34","¥8.00","25-07-21","0"
"Kimi-K2.5","41.89","31.24","25.43%","+5.5%","65","2740","¥1.61","¥21.00","26-01-27","0"
"Qwen3-Next-80B-A3B(Think)","40.05","30.35","24.20%","-","408","32190","¥9.01","¥10.00","25-09-12","1"
"讯飞星火X1.5","39.13","25.08","35.93%","+42%","1382","24268","¥8.15","¥12.00","25-11-03","1"
"Gemini 3 Flash","35.97","31.16","13.38%","+39.5%","10","1287","¥0.78","¥21.60","25-12-18","0"
"Step-3","34.47","27.27","20.87%","-","741","16302","¥3.65","¥8.00","25-07-31","1"
"Ling-1T","33.96","26.28","22.63%","-","219","6740","¥3.02","¥16.00","25-10-09","0"
"SenseNova-V6.5-Pro","33.31","22.73","31.75%","+12.9%","856","20663","¥5.21","¥9.00","25-07-26","1"
"Doubao-Seed-1.8 1228","27.34","19.68","28.01%","-2.3%","67","3361","¥0.75","¥8.00","26-01-05","0"
"Claude Sonnet 4.5","25.48","20.77","18.47%","-15%","20","1341","¥4.06","¥108.00","25-09-29","0"
"MiMo-V2-Flash 0112","24.65","12.86","47.84%","+15%","46","3888","¥0.24","¥2.16","26-01-19","0"
"Mistral Large 3","23.58","17.99","23.73%","+29.9%","60","2506","¥0.76","¥10.80","25-12-03","0"
"GLM-4.7 Flash","22.81","14.56","36.15%","-","145","2163","-","-","26-01-20","0"
"MiMo-V2-Flash","21.03","12.47","40.73%","-","19","2145","¥0.13","¥2.16","25-12-17","0"
"Ling-flash-2.0","19.57","14.17","27.60%","-","167","7516","¥0.84","¥4.00","25-09-18","0"
"Grok 4.1 Fast","18.01","10.60","41.18%","-17%","11","824","¥0.08","¥3.60","25-11-19","0"
